Model,Seed,Epoch,Train_Loss,Test_Loss,Train_Acc,Test_Acc,F1,AUROC,Epoch_time
CNN_Adam_lr0.01_wd0.0,42,1,0.6924,0.6938,0.5048,0.3273,0.3714,0.2523,22.42
CNN_Adam_lr0.01_wd0.0,42,2,0.6745,0.6531,0.5357,0.6438,0.7092,0.5969,11.94
CNN_Adam_lr0.01_wd0.0,42,3,0.5717,0.6239,0.6758,0.627,0.7203,0.6351,11.94
CNN_Adam_lr0.01_wd0.0,42,4,0.568,0.6156,0.6795,0.6477,0.7165,0.7736,11.96
CNN_Adam_lr0.01_wd0.0,42,5,0.4499,0.477,0.7788,0.7726,0.7863,0.8516,11.94
CNN_Adam_lr0.01_wd0.0,42,6,0.3889,0.4932,0.8194,0.7585,0.7464,0.8531,11.93
CNN_Adam_lr0.01_wd0.0,42,7,0.3632,0.4755,0.8359,0.7754,0.7698,0.8643,11.92
CNN_Adam_lr0.01_wd0.0,42,8,0.3383,0.5447,0.8518,0.7497,0.7377,0.8427,11.91
CNN_Adam_lr0.01_wd0.0,42,9,0.3162,0.7983,0.8624,0.6558,0.5149,0.8387,11.93
CNN_Adam_lr0.01_wd0.0,42,10,0.3035,0.7139,0.8683,0.7056,0.6362,0.8264,11.94
CNN_Adam_lr0.01_wd0.0,42,11,0.2914,0.5815,0.8749,0.7522,0.7462,0.8384,11.95
CNN_Adam_lr0.01_wd0.0,42,12,0.274,0.8018,0.8823,0.7032,0.6168,0.8204,11.92
CNN_Adam_lr0.01_wd0.0,42,13,0.2647,0.7376,0.8878,0.7253,0.687,0.8181,11.91
CNN_Adam_lr0.01_wd0.0,42,14,0.252,0.9105,0.8942,0.7012,0.6198,0.8142,11.93
CNN_Adam_lr0.01_wd0.0,42,15,0.2384,1.1087,0.9017,0.6465,0.5033,0.7876,11.95
CNN_Adam_lr0.01_wd0.0,42,16,0.2323,0.9096,0.9043,0.6768,0.6223,0.7659,11.92
CNN_Adam_lr0.01_wd0.0,42,17,0.2271,0.8194,0.9059,0.7171,0.6681,0.8048,11.94
CNN_Adam_lr0.01_wd0.0,42,18,0.2285,0.7322,0.9064,0.713,0.717,0.7849,11.93
CNN_Adam_lr0.01_wd0.0,42,19,0.2219,0.9573,0.9094,0.6771,0.5688,0.7947,11.92
CNN_Adam_lr0.01_wd0.0,42,20,0.2069,0.994,0.9166,0.6933,0.6313,0.7839,11.96
CNN_Adam_lr0.01_wd0.0,42,21,0.2085,0.7889,0.9164,0.7489,0.7327,0.8234,11.94
CNN_Adam_lr0.01_wd0.0,42,22,0.2064,0.993,0.9149,0.7027,0.6193,0.8086,11.94
CNN_Adam_lr0.01_wd0.0,42,23,0.1973,0.8838,0.921,0.7351,0.6887,0.822,11.92
CNN_Adam_lr0.01_wd0.0,42,24,0.1965,1.2903,0.9211,0.6454,0.5011,0.7858,11.98
CNN_Adam_lr0.01_wd0.0,42,25,0.1933,1.0743,0.9218,0.6894,0.604,0.7922,11.96
CNN_Adam_lr0.01_wd0.0,42,26,0.1877,1.3522,0.9256,0.6341,0.4659,0.7695,11.95
CNN_Adam_lr0.01_wd0.0,42,27,0.1925,1.3308,0.9231,0.6259,0.4431,0.758,11.98
CNN_Adam_lr0.01_wd0.0,42,28,0.1841,1.0474,0.9265,0.7046,0.6295,0.7945,11.94
CNN_Adam_lr0.01_wd0.0,42,29,0.1814,1.2474,0.9291,0.6539,0.5349,0.7805,11.93
CNN_Adam_lr0.01_wd0.0,42,30,0.1872,1.0372,0.9237,0.7003,0.6248,0.7937,11.93
CNN_Adam_lr0.01_wd0.0,15,1,0.5959,0.6097,0.6477,0.6521,0.7241,0.6841,12.13
CNN_Adam_lr0.01_wd0.0,15,2,0.5191,0.5255,0.7177,0.7483,0.7705,0.8372,12.1
CNN_Adam_lr0.01_wd0.0,15,3,0.4027,0.4764,0.8108,0.7792,0.7842,0.8535,12.11
CNN_Adam_lr0.01_wd0.0,15,4,0.3839,0.5688,0.8216,0.7319,0.6931,0.8512,12.11
CNN_Adam_lr0.01_wd0.0,15,5,0.3563,0.6886,0.8393,0.6972,0.608,0.855,12.12
CNN_Adam_lr0.01_wd0.0,15,6,0.3267,0.5516,0.8569,0.7535,0.7261,0.8539,12.1
CNN_Adam_lr0.01_wd0.0,15,7,0.3124,0.5852,0.8659,0.7398,0.7091,0.8521,12.09
CNN_Adam_lr0.01_wd0.0,15,8,0.2879,0.7361,0.8784,0.7158,0.6357,0.8675,12.1
CNN_Adam_lr0.01_wd0.0,15,9,0.2728,0.5804,0.8904,0.7543,0.7171,0.8661,12.1
CNN_Adam_lr0.01_wd0.0,15,10,0.2615,0.6659,0.894,0.7351,0.6844,0.8598,12.1
CNN_Adam_lr0.01_wd0.0,15,11,0.2522,0.6803,0.8968,0.7351,0.6918,0.8497,12.09
CNN_Adam_lr0.01_wd0.0,15,12,0.2491,0.5693,0.8978,0.7765,0.7744,0.863,12.11
CNN_Adam_lr0.01_wd0.0,15,13,0.2403,0.701,0.9022,0.7156,0.689,0.8184,12.1
CNN_Adam_lr0.01_wd0.0,15,14,0.2333,1.015,0.909,0.6471,0.525,0.7918,12.09
CNN_Adam_lr0.01_wd0.0,15,15,0.2356,0.6229,0.9034,0.7568,0.7264,0.8612,12.13
CNN_Adam_lr0.01_wd0.0,15,16,0.2214,0.885,0.9125,0.6868,0.6178,0.8096,12.09
CNN_Adam_lr0.01_wd0.0,15,17,0.2167,0.6556,0.9146,0.7486,0.7223,0.8498,12.09
CNN_Adam_lr0.01_wd0.0,15,18,0.2171,0.7364,0.9126,0.7172,0.6798,0.8179,12.09
CNN_Adam_lr0.01_wd0.0,15,19,0.211,0.9604,0.9151,0.6897,0.6091,0.825,12.1
CNN_Adam_lr0.01_wd0.0,15,20,0.2105,0.8367,0.9151,0.7082,0.6342,0.8363,12.1
CNN_Adam_lr0.01_wd0.0,15,21,0.1991,1.0432,0.9211,0.6939,0.5952,0.8431,12.1
CNN_Adam_lr0.01_wd0.0,15,22,0.2026,0.6637,0.9214,0.7534,0.7339,0.8464,12.1
CNN_Adam_lr0.01_wd0.0,15,23,0.1914,0.9385,0.9264,0.6914,0.6179,0.8063,12.09
CNN_Adam_lr0.01_wd0.0,15,24,0.1941,0.9432,0.9236,0.7047,0.6297,0.8268,12.1
CNN_Adam_lr0.01_wd0.0,15,25,0.1897,0.9558,0.9259,0.6978,0.6372,0.8093,12.11
CNN_Adam_lr0.01_wd0.0,15,26,0.1928,1.0815,0.9234,0.6722,0.5595,0.8152,12.11
CNN_Adam_lr0.01_wd0.0,15,27,0.1903,0.843,0.925,0.7263,0.6759,0.8348,12.1
CNN_Adam_lr0.01_wd0.0,15,28,0.187,1.0075,0.9283,0.7081,0.6282,0.8339,12.11
CNN_Adam_lr0.01_wd0.0,15,29,0.1854,1.1327,0.9273,0.6739,0.558,0.8155,12.1
CNN_Adam_lr0.01_wd0.0,15,30,0.1773,1.0146,0.9318,0.7026,0.631,0.8093,12.1
CNN_Adam_lr0.01_wd0.0,67,1,0.523,0.5055,0.7155,0.774,0.7761,0.8398,12.13
CNN_Adam_lr0.01_wd0.0,67,2,0.4102,0.5279,0.8113,0.7607,0.7712,0.8315,12.13
CNN_Adam_lr0.01_wd0.0,67,3,0.3984,0.4891,0.8161,0.7708,0.7628,0.8587,12.11
CNN_Adam_lr0.01_wd0.0,67,4,0.3814,0.4944,0.8214,0.7674,0.764,0.8486,12.12
CNN_Adam_lr0.01_wd0.0,67,5,0.3624,0.4937,0.8374,0.774,0.7743,0.8475,12.13
CNN_Adam_lr0.01_wd0.0,67,6,0.3424,0.5337,0.8471,0.7502,0.7285,0.8514,12.11
CNN_Adam_lr0.01_wd0.0,67,7,0.331,0.5538,0.8528,0.7445,0.7031,0.8672,12.09
CNN_Adam_lr0.01_wd0.0,67,8,0.3099,0.5529,0.8678,0.7528,0.7318,0.8586,12.1
CNN_Adam_lr0.01_wd0.0,67,9,0.2977,0.5698,0.8728,0.7383,0.6976,0.8545,12.08
CNN_Adam_lr0.01_wd0.0,67,10,0.2817,0.6262,0.8791,0.7455,0.7153,0.8457,12.09
CNN_Adam_lr0.01_wd0.0,67,11,0.2689,0.7206,0.8862,0.7158,0.6673,0.8264,12.14
CNN_Adam_lr0.01_wd0.0,67,12,0.2554,0.8347,0.893,0.6772,0.5799,0.8161,12.06
CNN_Adam_lr0.01_wd0.0,67,13,0.2412,0.6512,0.901,0.7354,0.7205,0.8183,12.1
CNN_Adam_lr0.01_wd0.0,67,14,0.2359,0.7116,0.901,0.7381,0.7058,0.8288,12.09
CNN_Adam_lr0.01_wd0.0,67,15,0.2297,0.7214,0.9039,0.7325,0.6834,0.8452,12.1
CNN_Adam_lr0.01_wd0.0,67,16,0.2205,0.7679,0.9096,0.7248,0.6849,0.8191,12.09
CNN_Adam_lr0.01_wd0.0,67,17,0.2138,0.7686,0.9131,0.7196,0.6674,0.8224,12.12
CNN_Adam_lr0.01_wd0.0,67,18,0.2096,0.834,0.9163,0.7216,0.6687,0.8263,12.12
CNN_Adam_lr0.01_wd0.0,67,19,0.2112,0.8976,0.9142,0.7077,0.6417,0.8179,12.1
CNN_Adam_lr0.01_wd0.0,67,20,0.2008,0.9755,0.9185,0.6923,0.6002,0.8072,12.09
CNN_Adam_lr0.01_wd0.0,67,21,0.1986,0.7892,0.9216,0.7232,0.6857,0.8048,12.13
CNN_Adam_lr0.01_wd0.0,67,22,0.1976,0.7653,0.9221,0.7332,0.6894,0.8254,12.11
CNN_Adam_lr0.01_wd0.0,67,23,0.187,1.1432,0.9268,0.6605,0.5365,0.8068,12.09
CNN_Adam_lr0.01_wd0.0,67,24,0.1888,1.0923,0.925,0.6674,0.5379,0.8158,12.12
CNN_Adam_lr0.01_wd0.0,67,25,0.1909,1.1048,0.9245,0.6749,0.5558,0.8205,12.11
CNN_Adam_lr0.01_wd0.0,67,26,0.1829,0.9076,0.9274,0.7174,0.6495,0.8247,12.11
CNN_Adam_lr0.01_wd0.0,67,27,0.1727,1.0184,0.9321,0.702,0.6133,0.8184,12.12
CNN_Adam_lr0.01_wd0.0,67,28,0.1782,0.9355,0.93,0.7123,0.6362,0.8225,12.1
CNN_Adam_lr0.01_wd0.0,67,29,0.1699,1.004,0.9352,0.6929,0.6087,0.8074,12.12
CNN_Adam_lr0.01_wd0.0,67,30,0.1708,0.8187,0.9326,0.7255,0.6697,0.8186,12.11
CNN-augmented_Adam_lr0.01_wd0.0,42,1,0.6019,0.6937,0.6433,0.4984,0.6652,0.76,11.74
CNN-augmented_Adam_lr0.01_wd0.0,42,2,0.5527,0.5112,0.6893,0.7529,0.7569,0.8293,11.72
CNN-augmented_Adam_lr0.01_wd0.0,42,3,0.4254,0.5934,0.8027,0.7297,0.6944,0.833,11.73
CNN-augmented_Adam_lr0.01_wd0.0,42,4,0.4132,0.5909,0.8088,0.7326,0.7008,0.8392,11.84
CNN-augmented_Adam_lr0.01_wd0.0,42,5,0.3977,0.5371,0.8166,0.7573,0.7611,0.8421,11.89
CNN-augmented_Adam_lr0.01_wd0.0,42,6,0.3874,0.5862,0.8226,0.7271,0.6964,0.8328,11.77
CNN-augmented_Adam_lr0.01_wd0.0,42,7,0.3757,0.5934,0.8296,0.7203,0.6841,0.8322,11.74
CNN-augmented_Adam_lr0.01_wd0.0,42,8,0.362,0.577,0.8382,0.7334,0.7034,0.8466,11.73
CNN-augmented_Adam_lr0.01_wd0.0,42,9,0.3548,0.5989,0.8407,0.7356,0.7077,0.8419,11.75
CNN-augmented_Adam_lr0.01_wd0.0,42,10,0.3442,0.6909,0.8488,0.7217,0.6699,0.8442,11.73
CNN-augmented_Adam_lr0.01_wd0.0,42,11,0.3373,0.5101,0.8542,0.7624,0.7658,0.8566,11.74
CNN-augmented_Adam_lr0.01_wd0.0,42,12,0.3215,0.6985,0.8607,0.7003,0.6509,0.807,11.75
CNN-augmented_Adam_lr0.01_wd0.0,42,13,0.3067,0.5981,0.8688,0.7488,0.7249,0.8393,11.73
CNN-augmented_Adam_lr0.01_wd0.0,42,14,0.2971,0.5119,0.8702,0.7632,0.7661,0.8593,11.73
CNN-augmented_Adam_lr0.01_wd0.0,42,15,0.2905,0.6913,0.8776,0.7149,0.6422,0.8426,11.9
CNN-augmented_Adam_lr0.01_wd0.0,42,16,0.2818,0.7641,0.8812,0.7093,0.6257,0.8411,11.73
CNN-augmented_Adam_lr0.01_wd0.0,42,17,0.2741,0.6538,0.8826,0.7395,0.6941,0.8408,11.72
